nc101_code	D2_01	D2_02	D2_03	W12_01	W12_02	W12_03	w20_01	w20_02	w20_03	w20_04	w20_05
NC101_03249	231	24	56	162	551	259	1487	397	1169	1478	130
NC101_03250	51	10	9	34	155	45	208	78	258	266	70
NC101_03251	78	25	6	42	455	81	1444	617	1842	1689	195
NC101_03252	13	8	2	13	84	12	261	85	279	320	30
NC101_03253	85	28	10	24	258	56	884	380	1031	843	73
NC101_03254	77	36	5	52	407	101	610	291	860	746	201
NC101_03255	36	8	2	17	217	39	309	178	448	414	186
NC101_03256	19	0	0	10	95	19	134	79	195	164	138
NC101_03257	240	103	31	107	789	265	1282	696	1849	1783	833
NC101_03258	192	67	35	142	231	188	41	36	116	55	17
NC101_03259	185	31	18	107	181	134	196	169	356	270	52
NC101_03260	15	5	2	31	23	20	24	12	49	34	54
NC101_03261	43	13	2	9	39	28	22	10	37	42	7
NC101_03262	16	4	3	7	43	34	27	23	97	52	22
NC101_03263	2	3	0	2	4	6	4	8	16	9	8
NC101_03264	31	1	2	12	45	29	20	10	32	18	27
NC101_03265	37	5	0	6	13	7	11	7	25	16	19
NC101_03266	20	4	1	17	18	16	20	7	35	21	15
NC101_03267	16	1	2	17	86	19	60	56	123	106	16
NC101_03268	14	9	4	15	74	21	44	22	106	51	5
NC101_03269	1541	163	95	747	446	949	133	99	240	208	201
NC101_03270	314	538	16	1036	156	795	164	89	175	107	331
NC101_03271	290	62	22	116	540	246	212	139	294	188	11
NC101_03272	6	0	1	0	23	4	13	10	27	15	6
NC101_03273	10	2	0	11	13	14	8	6	20	21	11
NC101_03274	9	3	0	3	23	17	15	10	33	17	5
NC101_03275	10	3	5	5	39	4	16	7	57	27	0
NC101_03276	7	2	0	3	27	6	20	10	31	21	5
NC101_03277	152	26	20	67	248	120	177	144	242	151	9
NC101_03278	41	18	1	41	251	67	163	71	196	199	19
NC101_03279	65	31	8	51	99	47	164	72	244	203	21
NC101_03280	69	15	12	23	8	26	14	7	50	41	10
NC101_03281	0	0	0	0	8	3	14	2	10	21	43
NC101_03282	3	3	0	2	11	5	43	14	36	33	4
NC101_03283	6	2	0	7	21	2	46	10	44	39	6
NC101_03284	27	5	1	11	49	18	39	17	59	57	7
NC101_03285	6	0	0	1	36	13	33	6	13	15	18
NC101_03286	62	19	14	25	91	80	99	69	121	98	18
NC101_03287	140	14	20	66	91	96	85	66	41	71	14
NC101_03288	19	6	4	10	80	62	90	56	111	82	21
NC101_03289	22	13	2	13	55	19	89	64	136	140	20
NC101_03290	10	5	1	5	24	2	11	8	41	17	10
NC101_03291	15	0	0	8	35	21	34	35	98	67	32
NC101_03292	57	16	5	66	167	124	100	67	245	218	40
NC101_03293	3	2	0	2	16	2	2	2	21	5	33
NC101_03294	19	6	4	19	115	31	146	76	268	236	25
